Country_Name,independence,united_nation_members,start_of_week,official_name,common_native_name,currency_code,currency_name,currency_symbol,country_code,capital,region,subregion,languages,area,population,continents,country_name
Sint Maarten,False,False,monday,Sint Maarten,Sint Maarten,ANG,Netherlands Antillean guilder,ƒ,++1721,Philipsburg,Americas,Caribbean,"['English', 'French', 'Dutch']",34.0,40812,['North America'],Sint Maarten
Turks and Caicos Islands,False,False,monday,Turks and Caicos Islands,Turks and Caicos Islands,USD,United States dollar,$,++1649,Cockburn Town,Americas,Caribbean,['English'],948.0,38718,['North America'],Turks and Caicos Islands
Nauru,True,True,monday,Republic of Nauru,Nauru,AUD,Australian dollar,$,++674,Yaren,Oceania,Micronesia,"['English', 'Nauru']",21.0,10834,['Oceania'],Nauru
Cocos (Keeling) Islands,False,False,monday,Territory of the Cocos (Keeling) Islands,Cocos (Keeling) Islands,AUD,Australian dollar,$,++61,West Island,Oceania,Australia and New Zealand,['English'],14.0,544,['Asia'],Cocos (Keeling) Islands
Dominica,True,True,monday,Commonwealth of Dominica,Dominica,XCD,Eastern Caribbean dollar,$,++1767,Roseau,Americas,Caribbean,['English'],751.0,71991,['North America'],Dominica
Australia,True,True,monday,Commonwealth of Australia,Australia,AUD,Australian dollar,$,++61,Canberra,Oceania,Australia and New Zealand,['English'],7692024.0,25687041,['Oceania'],Australia
Tuvalu,True,True,monday,Tuvalu,Tuvalu,AUD,Australian dollar,$,++688,Funafuti,Oceania,Polynesia,"['English', 'Tuvaluan']",26.0,11792,['Oceania'],Tuvalu
Saint Lucia,True,True,monday,Saint Lucia,Saint Lucia,XCD,Eastern Caribbean dollar,$,++1758,Castries,Americas,Caribbean,['English'],616.0,183629,['North America'],Saint Lucia
Palau,True,True,monday,Republic of Palau,Palau,USD,United States dollar,$,++680,Ngerulmud,Oceania,Micronesia,"['English', 'Palauan']",459.0,18092,['Oceania'],Palau
Philippines,True,True,monday,Republic of the Philippines,Philippines,PHP,Philippine peso,₱,++63,Manila,Asia,South-Eastern Asia,"['English', 'Filipino']",342353.0,109581085,['Asia'],Philippines
